season1,club1,season2,club2,season3,club3,pos,letters,country,name,countryCode,col1A,col1B,col1C,col2A,col2B,col2C,col3A,col3B,col3C,
Anni 2000,Europa,Anni 2000,Europa,Anni 2000,Europa,FW,3+10,Netherlands,Van Nistelrooy,NL,blue,gold,blue,blue,gold,blue,blue,gold,blue,
1995/96,Rapid Vienna,2002/03,Udinese,2005/06,1. FC Kaiserslautern,FW,7,Germany,Jancker,DE,green,white,green,white,black,white,red,red,white,
1992/93,Blackburn Rovers,1995/96,Blackburn Rovers,1996/97,Newcastle Utd,FW,7,England,Shearer,GB,white,royalblue,white,white,royalblue,white,white,black,white,
2005,Bayer 04 Leverkusen,2008/09,Bayern Munich,2009/10,Everton,FW,7,USA,Donovan,US,red,black,red,red,red,white,blue,blue,blue,
2010/11,São Paulo FC,2016/17,Sevilla,2020/21,Fluminense,MF,5,Brazil,Ganso,BR,white,red,black,white,red,white,green,white,darkred,
1996/97,Tenerife,1999/00,Bayer 04 Leverkusen,2008/09,Borussia M'Gladbach,FW,8,Germany,Neuville,DE,white,white,blue,red,black,red,white,forestgreen,black,
1994/95,Reggiana,1998/99,Lecce,2004/05,Genoa,MF,5,Italy,Cozza,IT,brown,brown,brown,red,yellow,red,navy,darkred,navy,
1992/93,Grasshoppers,2000/01,Bayern Munich,2003/04,Olympique Lyon,FW,5,Brazil,Elber,BR,white,blue,white,red,red,white,white,red,blue,
2009/10,Genoa,2012/13,AC Milan,2015/16,Chelsea,GK,6,Italy,Amelia,IT,navy,darkred,navy,red,black,red,blue,blue,blue,
1997/98,Tenerife,2000/01,Deportivo La Coruna,2008/09,Feyenoord,FW,6,Netherlands,Makaay,NL,white,white,blue,blue,white,blue,white,red,black,
1997/98,Parma,2004/05,Inter,2006/07,Levante,DF,2+5,Brazil,Zé Maria,BR,white,gold,blue,blue,black,blue,navy,red,navy,
2004/05,Rapid Vienna,2007/08,Napoli,2008/09,Atalanta,DF,6,Austria,Garics,AT,green,white,green,dodgerblue,dodgerblue,dodgerblue,blue,black,blue,
1998/99,Willem II,2006/07,Liverpool,2010/11,Bayer 04 Leverkusen,DF,6,Finland,Hyypiä,FI,red,white,blue,red,red,red,red,black,red,
1987/88,Torino,1990/91,Sevilla,1995/96,1. FC Köln,FW,7,Austria,Polster,AT,firebrick,firebrick,firebrick,white,red,white,white,white,red,
2004/05,Monaco,2010/11,Real Madrid,2015/16,Crystal Palace,FW,8,Togo,Adebayor,TG,red,white,red,white,white,white,blue,red,blue,
1991/92,Toulouse,1997/98,Monaco,2006/07,Nantes,GK,7,France,Barthez,FR,purple,purple,white,red,white,red,yellow,green,yellow,
1993/94,Eintracht Frankfurt,1999/00,Paris Saint Germain,2004/05,Bolton Wanderers,MF,6,Nigeria,Okocha,NG,red,black,red,navy,red,navy,white,red,navy,
1995/96,Nantes,2001/02,Torino,2004/05,CSKA Sofia,MF,5,France,Cauet,FR,yellow,green,yellow,firebrick,firebrick,firebrick,red,red,white,
2009/10,Espanyol,2013/14,Juventus,2015/16,Porto,FW,7,Italy,Osvaldo,IT,royalblue,white,royalblue,white,black,white,blue,white,blue,
1990/91,Torino,2001/02,Lazio,2003/04,Blackburn Rovers,MF,6,Italy,Baggio,IT,firebrick,firebrick,firebrick,skyblue,skyblue,white,white,royalblue,white,
1995/96,Bari,2001/02,Liverpool,2002/03,Galatasaray,DF,4+6,Portugal,Abel Xavier,PT,white,white,red,red,red,red,red,gold,red,
1994/95,Reggiana,1998/99,Ajax,2004/05,Borussia Dortmund,MF,6,Nigeria,Oliseh,NG,brown,brown,brown,white,red,white,yellow,yellow,black,
1994/95,Foggia,1999/00,Inter,2005/06,Brescia,MF,2+6,Italy,Di Biagio,IT,red,black,red,blue,black,blue,dodgerblue,white,dodgerblue,
1991/92,Benfica,1993/94,Benfica,2007/08,Benfica,MF,3+5,Portugal,Rui Costa,PT,red,red,white,red,red,white,red,red,white,
2014/15,Elche,2015/16,Monaco,2017/18,Spartak Moscow,MF,7,Croatia,Pasalic,HR,white,green,white,red,white,red,red,white,red,
1997/98,Reggina,1998/99,Juventus,2000/01,Bari,MF,8,Italy,Perrotta,IT,maroon,maroon,maroon,white,black,white,white,white,red,
1989/90,Napoli,1992/93,Roma,1995/96,Pescara,FW,9,Italy,Carnevale,IT,dodgerblue,dodgerblue,dodgerblue,darkred,darkred,gold,dodgerblue,white,dodgerblue,
1996/97,AC Milan,1997/98,Juventus,2010/11,Crystal Palace,MF,6,Netherlands,Davids,NL,red,black,red,white,black,white,blue,red,blue,
1993/94,Deportivo La Coruna,1996/97,Sevilla,2000,Kashima Antlers,FW,6,Brazil,Bebeto,BR,blue,white,blue,white,red,white,red,red,black,
1986,Palmeiras,1994/95,Genoa,2005/06,Sydney FC,FW,5,Japan,Miura,JP,darkgreen,darkgreen,white,navy,darkred,navy,skyblue,skyblue,navy,
1997/98,Udinese,2004/05,Malaga,2006/07,Corinthians,FW,7,Brazil,Amoroso,BR,white,black,white,royalblue,white,royalblue,black,white,black,
1994/95,Real Zaragoza,1995/96,Real Madrid,1996/97,Atletico Madrid,FW,8,Argentina,Esnaider,AR,white,white,blue,white,white,white,red,white,red,
1984/85,Schalke 04,1989/90,Bayern Munich,2001/02,Schalke 04,DF/MF,4,Germany,Thon,DE,royalblue,royalblue,white,red,red,white,royalblue,royalblue,white,
2001/02,Parma,2007/08,Lyn Oslo,2010/11,River Plate,MF,7,Argentina,Almeyda,AR,white,gold,blue,white,red,blue,white,red,white,
1987/88,Juventus,1990/91,Bologna,1995/96,Juvenes,MF,6,San Marino,Bonini,SM,white,black,white,darkred,navy,darkred,white,white,dodgerblue,
2002/03,Feyenoord,2015/16,Fenerbahçe,2018/19,Feyenoord,FW,3+6,Netherlands,Van Persie,NL,white,red,black,navy,yellow,navy,white,red,black,
1988/89,Cremonese,1997/98,Crystal Palace,2001/02,Sampdoria,MF,8,Italy,Lombardo,IT,red,gray,red,blue,red,blue,dodgerblue,white,dodgerblue,
1997/98,Sheffield Wednesday,1999/00,Aston Villa,2006/07,Sydney FC,FW,7,Italy,Carbone,IT,white,royalblue,white,skyblue,darkred,skyblue,skyblue,skyblue,navy,
1991/92,Bayern Munich,1993/94,AC Milan,1998/99,Chelsea,MF/FW,7,Denmark,Laudrup,DK,red,red,white,red,black,red,blue,blue,blue,
1989/90,Nacional,2000/01,Juventus,2002/03,Como,FW,7,Uruguay,Fonseca,UY,white,blue,red,white,black,white,royalblue,royalblue,royalblue,
1984/85,Avellino,1992/93,AC Milan,1994/95,Reggiana,MF,2+6,Italy,De Napoli,IT,green,white,green,red,black,red,brown,brown,brown,
1981/82,Athletic Bilbao,1991/92,Barcelona,1995/96,Valencia,GK,11,Spain,Zubizarreta,ES,red,white,red,firebrick,navy,firebrick,white,white,black,
2010/11,Manchester City,2014/15,Liverpool,2018/19,Olympique Marseille,FW,9,Italy,Balotelli,IT,skyblue,skyblue,white,red,red,red,white,white,dodgerblue,
2011/12,Real Madrid,2014/15,Napoli,2019/20,Napoli,FW,8,Spain,Callejon,ES,white,white,white,dodgerblue,dodgerblue,dodgerblue,dodgerblue,dodgerblue,dodgerblue,
2006/07,Hertha Berlin,2010/11,Manchester City,2021/22,Olympique Lyon,DF,7,Germany,Boateng,DE,blue,white,blue,skyblue,skyblue,white,white,red,blue,
2008/09,Siena,2015/16,Bologna,2016/17,Watford,DF/MF,6,Colombia,Zúñiga,CO,white,black,white,darkred,navy,darkred,yellow,black,red,
1995/96,AC Milan,2005/06,Juventus,2008/09,Inter,MF,6,France,Vieira,FR,red,black,red,white,black,white,blue,black,blue,
1997/98,Udinese,2004/05,Norwich City,2006/07,Borussia M'Gladbach,DF,6,Denmark,Helveg,DK,white,black,white,forestgreen,yellow,forestgreen,white,forestgreen,black,
1997/98,1. FC Kaiserslautern,2001/02,Bayer 04 Leverkusen,2008/09,Chelsea,MF,7,Germany,Ballack,DE,red,red,white,red,black,red,blue,blue,blue,
2003/04,Everton,2017/18,Everton,2020/21,Derby County,FW,6,England,Rooney,GB,blue,blue,blue,blue,blue,blue,white,white,black,
1990/91,Go Ahead Eagles,1994/95,Ajax,2008/09,Go Ahead Eagles,MF,8,Netherlands,Overmars,NL,red,yellow,red,white,red,white,red,yellow,red,
1988/89,Dynamo Dresden,1990/91,Stuttgart,1994/95,Borussia Dortmund,DF/MF,6,Germany,Sammer,DE,black,gold,black,white,red,white,yellow,yellow,black,
1989/90,Atalanta,1994/95,Benfica,2001/02,Rangers,FW,8,Argentina,Caniggia,AR,blue,black,blue,red,red,white,royalblue,white,red,
1987/88,Stuttgart,1994/95,Tottenham,1997/98,Sampdoria,FW,9,Germany,Klinsmann,DE,white,red,white,white,white,navy,dodgerblue,white,dodgerblue,
2004/05,Mallorca,2008/09,Fiorentina,2014/15,Galatasaray,MF,6+4,Brazil,Felipe Melo,BR,red,red,black,blueviolet,blueviolet,blueviolet,red,gold,red,
2008/09,Barcelona,2010/11,Sevilla,2017/18,Hellas Verona,DF,7,Uruguay,Caceres,UY,firebrick,navy,firebrick,white,red,white,mediumblue,mediumblue,gold,
1983/84,1. FC Kaiserslautern,1992/93,Real Zaragoza,1996/97,1. FC Kaiserslautern,DF/MF,6,Germany,Brehme,DE,red,red,white,white,white,blue,red,red,white,
1990/91,Karlsruhe,1994/95,Bayern Munich,2001/02,Bayern Munich,GK,4,Germany,Kahn,DE,blue,blue,white,red,red,white,red,red,white,
2000/01,Roma,2002/03,Parma,2005/06,Bolton Wanderers,MF,6,Japan,Nakata,JP,darkred,darkred,gold,white,gold,blue,white,red,navy,
1993/94,Estudiantes,2001/02,Villarreal,2010/11,Boca Juniors,FW,7,Argentina,Palermo,AR,red,white,red,yellow,yellow,yellow,blue,gold,blue,
1987/88,San Lorenzo,1990/91,Real Zaragoza,2000/01,RC Strasbourg,GK,9,Paraguay,Chilavert,PY,navy,red,navy,white,white,blue,blue,blue,white,
1985/86,Juventus,1988/89,Hellas Verona,1994/95,Fiorentina,DF,5,Italy,Pioli,IT,white,black,white,mediumblue,mediumblue,gold,blueviolet,blueviolet,blueviolet,
2011/12,1860 Munich,2017/18,Bayer 04 Leverkusen,2020/21,Monaco,FW,7,Germany,Volland,DE,skyblue,white,skyblue,red,black,red,red,white,red,
1999/00,Sevilla,2006/07,Juventus,2008/09,Napoli,FW,8,Uruguay,Zalayeta,UY,white,red,white,white,black,white,dodgerblue,dodgerblue,dodgerblue,
1991/92,Torino,1997/98,Atletico Madrid,2008/09,Atalanta,FW,5,Italy,Vieri,IT,firebrick,firebrick,firebrick,red,white,red,blue,black,blue,
1990/91,Lecce,1997/98,Celta Vigo,2000/01,Elche,MF,7,Brazil,Mazinho,BR,red,yellow,red,skyblue,skyblue,skyblue,white,green,white,
1998/99,Betis,2005/06,Bordeaux,2007,FC Dallas,FW,8,Brazil,Denilson,BR,green,white,green,navy,navy,white,red,red,navy,
1991/92,Real Madrid,1992/93,Brescia,1994/95,Barcelona,MF,4,Romania,Hagi,RO,white,white,white,dodgerblue,white,dodgerblue,firebrick,navy,firebrick,
1994/95,Dynamo Dresden,1999/00,Bayern Munich,2008/09,Salzburg,FW,7,Germany,Zickler,DE,black,gold,black,red,red,white,blueviolet,blueviolet,blueviolet,
2009/10,Portsmouth,2016/17,Las Palmas,2020,Besiktas,MF/FW,7,Ghana,Boateng,GH,royalblue,white,red,yellow,yellow,blue,white,white,black,
2006/07,Sporting CP,2015/16,Sporting CP,2019/20,Wolverhampton,GK,3+8,Portugal,Rui Patricio,PT,green,white,green,green,white,green,gold,gold,black,
1996/97,Real Madrid,1999/00,Arsenal,2002/03,1860 Munich,FW,5,Croatia,Suker,HR,white,white,white,white,red,white,skyblue,white,skyblue,
1988/89,Montpellier,1991/92,Real Valladolid,1998/99,Miami Fusion,MF,10,Colombia,Valderrama,CO,navy,orange,navy,white,darkviolet,white,blue,blue,blue,
1980/81,1860 Munich,1993/94,Olympique Marseille,1995/96,Bayer 04 Leverkusen,FW,6,Germany,Völler,DE,skyblue,white,skyblue,white,white,dodgerblue,red,black,red,
2003/04,Roma,2005/06,Olympique Lyon,2010/11,Aston Villa,FW,5,Norway,Carew,NO,darkred,darkred,gold,white,red,blue,skyblue,darkred,skyblue,
1992/93,Pescara,1995/96,Cagliari,1997/98,Napoli,MF,7,Italy,Allegri,IT,dodgerblue,white,dodgerblue,navy,red,navy,dodgerblue,dodgerblue,dodgerblue,
1991/92,Caratese,1992/93,Juventus,2003/04,Espanyol,DF,10,Italy,Torricelli,IT,blue,blue,blue,white,black,white,royalblue,white,royalblue,
1986/87,Auxerre,1992/93,Leeds Utd,1994/95,Manchester Utd,FW,7,France,Cantona,FR,white,white,steelblue,white,yellow,royalblue,red,red,red,
1993/94,Napoli,2003/04,Inter,2009/10,Juventus,DF,9,Italy,Cannavaro,IT,dodgerblue,dodgerblue,dodgerblue,blue,black,blue,white,black,white,
2003/04,Udinese,2007/08,Portsmouth,2017/18,Deportivo La Coruna,MF,7,Ghana,Muntari,GH,white,black,white,royalblue,white,red,blue,white,blue,
2003/04,Parma,2010/11,Fiorentina,2013/14,Genoa,FW,9,Italy,Gilardino,IT,white,gold,blue,blueviolet,blueviolet,blueviolet,navy,darkred,navy,
2012/13,Novara,2014/15,Udinese,2016/17,Sampdoria,MF,5+9,Portugal,Bruno Fernandes,PT,dodgerblue,dodgerblue,black,white,black,white,dodgerblue,white,dodgerblue,
2002/03,Atletico Madrid,2003/04,Lazio,2004/05,Atalanta,MF,9,Italy,Albertini,IT,red,white,red,skyblue,skyblue,white,blue,black,blue,
1996/97,Manchester Utd,1998/99,Benfica,2001/02,Lazio,MF,8,Czechia,Poborsky,CZ,red,red,red,red,red,white,skyblue,skyblue,white,
